,review title,job title,job location,date,description,pros,cons
794,Overall scope of my job and a take on management,Process Controller,Rustenburg NW,"September 29, 2013","The work place is fun but on the side of my department, the management is killing the fun part of it.This, i mostly attribute to the lack of recognition of potential employees in terms of placement.I learned from my current job that descipline and dedication can pay off devidends. I also manage to master the art of time management based on the fact that i managed to obtain my Degree while working.Overall the job is not challenging intellectually for my side but only on the physical part.",Job creation,Bad environment
795,Good working environment,English teacher,"Morelia, MIC","September 17, 2013","Learn how to interact with my company‚ ± eros work, resolve doubts and problemas.Desarrolle greater security and responsalbilidad",#VALUE!,#VALUE!
796,productive and challenging,acting engineering specialist,"Thabazimbi, LP","September 16, 2013",i work long hours to get my job donethere is shortage of staffforeman are overloadedtraining is available but no job promisesits a very interesting compony due to exposureone problem is salary discripancy is a lot,#VALUE!,"long hours, some which goes unpaid"
797,Productive,HR Officer,Rustenburg NW,"September 12, 2013",I worked well with my colleaques and my supervisor.Hardest part: When i first started at this position I had to start for my own as there was no one previously occupying the position and acting for my supervisor liasing with the management and the unions.Most enjoyable is when people would recommend me for assistance knowing that whatever query they had i would definetely assist and give constructive feedback,"Other allowances like Home Owner Allowances, Travelling claims, Phone allowances","Long hours, no overtime for HR people"
799,a very good working environment,Apprentice,"Catemu, VS","September 9, 2013","is a large company, it gives you the opportunity to speak fluently as a person and prepositional, with an atmosphere and work very nice, and teaches you ± an to solve problems and provide optimal answers.",#VALUE!,#VALUE!
800,company Alavancadora,receptionist Bil√ngue,"Barro Alto, GO","September 7, 2013","As a company that tries to build the largest pipeline of mundo.Que aims to promote the development of local suppliers socioecon√'mico miners municipalities with certainty in £ lets investing Tamba © m in the quality of work of each funcion√°rio, after all these Tamba © m make the company develop ... a company that has a president whose filosofiaTer the best Mina © iron river, with the best price tag, do the £ leave to be desired.",#VALUE!,#VALUE!
801,Productive,SHE Officer,Mogalakwena in Limpompo,"August 29, 2013",Misunderstanding with management after stopping work place beacause of unsafe work area. Challenges employees area facing with their line supervisors.,None,None
802,"very good working environment, teamwork,",Manager Social worker Social-,"Bogot√° , CUN","August 24, 2013","Working with Anglo American explorati√≥n Colombia, it was really significant for my professional and personal formation, and to develop capabilities in a personal and professional level not previously identified a typical day in the field socialize projects prospecting or drilling if it was the case already a company‚ ± ô s mining, learn, to channel emotions, to create a good working environment strengthen my actions teamwork, the most difficult part of the job security in my country because I played work in very complex areas in t√ © terms safety, teamwork, everything revolved around a common goal, the relationship with each and every one of the communities where they came without knowing me as if it were accepted that community.",that allowed us to do our job efficiently,that imcumplieramos established commitments
803,Productive and Safe Work Environment,Protection Services Superintendent,Rustenburg NW,"August 20, 2013",A lot of work to be done by minimum people.Very productive and competative.,Free Coffee and bread daily and subsidised meals. Great benefits and salaries.,Staff Shortage. Retrenchments.
804,Good,J??,Rustenburg LP,"August 19, 2013","Working goodI' ve learned more things, because I 've work at store at workshop fixing machine and as a assistant driver and I was a fast learnerManagement were willing to develop all employeesExellent co workersMost enjoyable part of the job is to work as a team the whole company","Yes, Free lunch when we do stock taking",Yes long hours
805,employee development is key and safety is a high priority,COMMUNITY DEVELOPMENT SUPEEINTENDENT,"Kriel, MP","August 18, 2013","lots of daily interventions on daily basis,I have learnt a lot around cost management corporate gorvenance and business integrity.I view my co workerkes as brothers and sisters keepers and collaborate with them as and when required.The job 's responsibilities is more of a multi task type which requires a lot of energy and resources turn to be a biggest challenge. Stake holder engagement and relationship building is quiet fun and exciting.",annual bonus,under resourced
806,Efficient and enjoyable work environment,Metallurgist,"Potgietersrus, LP","August 16, 2013",TYPICAL DAYStart day off with daily safety meeting and delegate work to subordinates.Daily plant stability meeting to discuss current issues and brainstorm ideas with technical team.Assist subordinates where needed and ensure that tasks given are attended to.Weekly meeting with entire management team to discuss all current issues and to raise concerns.Attend to requests and emails.Attend to current project.Close out day by ensuring that all critical tasks were attended to and that deadlines are met.Management allows freedom to express yourself and you are not tied down. I also do not work under constant supervision.Co-workers are very helpful and knowledgeable. They are approachable and always willing to assist where needed.The hardest part of my job is to constantly improve the process and find solutions to unique problems.The most enjoyable part of my job is the fact that I can do my work in my own manner as long as the job gets done on time. I also enjoy the fact that everyday is different and I live for the challenges in my day to day job.,Stable job with room for advancement,No reward for major achievements and improvements in business performance
807,"enpresa very good in every way, the only thing I would change is that short run for one very small ± a alm, and improve wages seem nothing more",operador my rajo,"Mel√≥n,v region","August 13, 2013",A typical day like any other mining safety insentivarnos which is very good .de my excellent colleagues a very pleasant yq pays much assistance ... q is learning the hard hills grupu work I do is try not to be distracted by anything atra q is not your job to some undesirable incident eviitar yourself or another person or team .what I like most about my job is yon trucks would say losn alw ays do this so√ ± and operate a haul truck and other mining equipment,close to home low altitude and generally good weather close to home,ffuncional short career. for being little girl ..mejorar wages
808,The company was fair-Only as needed the Experience and knowledge.,Supervisor of the £ Produ√ß√,"Barro Alto, GO","July 30, 2013",- One day in order alcan√ßado.- √ s times in the £ must pass our Ger√™ncia conhecimentos.- the nA £ valued at £ oversees o.- Agrade√ßoa God for the good co-trablho (£ Cha the fans °FACTORY) .- it was difficult to work when the equipment in £ acom,Very good,The way the supervisor fed (running)
809,productive and nice working enviroment,Laboratory Analyst,GP,"July 29, 2013","I'm a shift worker. I enjoy working in the laboratory, I've learned a lot about working as a team, management of the quality system , while taking into consideration good safety and health standards,i enjoy working in a team and its easy for me because i take time to study and understand people i work with.The hardest part of my job is that i've been working as a contractor for 10 years, and as a contractor youn don't get the recognition you deserve and the most enjoyable part is i get to learn a whole lot of new things everyday concerning,quality,safety,health and life as a whole , because we are vast organisation with different cultures and backrounds",not,six day a week
810,very welcoming and willing to help environment,Practicing,"Catemu, VS","July 27, 2013","I learned a lot of advanced excel, contract administration, leadership, build skills and social projects and to ask for help and work with people who did not work in my area of ??trabajo.La most difficult part was putting together the project because the client was very demanding, but also © n learn a lot and also © n ADQUIRA many skills against exposure managers and supervisors.",I learned many skills to develop jobs,"the two months were little, I'd like to have continued to learn"
811,100% working under pressure to meet production goals sometimes neglecting safety production.,heavy machinery operator,"Nogales, VS","July 26, 2013","my last review of business competition conducted in June 2013 resulting in a 95% exam in psychology, te√≥rico, practice exams and methods © physicians.",© Physicians and safe methods bonds,extensive feeding and 12 hours of day
812,Personal assistant,Personal Assistant,"Johannesburg, GP","July 26, 2013","I'm a hard worker and fast learner.I'm loyal, trustworthy and confidentiality is very important.I'v gained some experience in the IM department and did the ITIL foundation course.I worked well with my co-workers.The hardest part of the job was keeping about 60 people happy all the time.Working on the computer - travel arrangements.",Lunch,normal working hours.
813,Commitment and Productive,Process Operator,Rustenburg NW,"July 18, 2013","The extraction plant need to be monitored closely especially the section of solvents where I am working, accuracy in making up chemicals and communicate well with co-workers as this rated area 5 in plant fire ratings and the best thing about this job is its continuous learning about the minerals processing and chemical reactions during the process of extractions.",Bonuses and training.,Night work and personal career advancement.
814,My work place,Non destructive testing inspector,Rustenburg NW,"July 18, 2013","The part I enjoy about my job is the development in terms of courses.The hardest part about my job is alot of travelling.The enjoyable part about my job is I control my work schedule,I manage myself on a daily basis,I dont report to my manager on a daily basis and also control my working hours in accordance to what the customer wants.",bonus,start very early
815,Professional and Productivity,"SharePoint, Training and Permit Coordinator","Kathu, NC","July 17, 2013","My day starts at 7:00 in the morning where I go through all my emails that may hae been sent after hours. Our Site Management team and co-workers are like family, we have a very good relationship and people know exactly where they stand with me. To be honest at this stage of my career there is no hard part anymore as I am clued up with everything I do and dont have any challenges as personal development does not form part of our project. The most enjoyable part of my job is to achieve the best results and feedback from the contractors for work well done.",Housing,#VALUE!
816,teamwork Accountability,Cost Accountant,Rustenburg NW,"July 16, 2013",#NAME?,learn quickly,like chanllenges
817,Company,Supervisor £ Manuten√ß√ the El√ © trica,"Santana, SP","July 7, 2013",Where I applied all my knowledge learned previously and I was promoted to supervisor for £ aplica√ß√ all the acquired experiences.,Visa Vale and the company the £ Refei√ß√,#VALUE!
818,Leading through change,Snr Accounts Assistant Project Team Leader,Witbank mpumalanga,"July 7, 2013","GSS inspired me to greatness, through hard work, dedication and committed the company supported my individual development and encouraged me to succeed. Management played a large role in my development with support and training given, to both enrich my own development and to be an asset to my company. I was given the opportunity to explore my vision for account payable and was given the support to implement new strategies and techniques to improve service delivery.I had the opportunity to work with a great team, together we achieved at times the impossible and succeeded beyond our set objectives.The toughest part of my job was to drive performance and keep the quality of work at a high level whilst keeping my team motivated and encouraged throughout each challenge in our environment.The best part of my job was the people, working with great minds and the ability to change for the greater good of our company",great people,the physical enviroment
820,Good job,El√ operator-maintainer © citric-instrumentalist,"Santiago de Chile, RM","July 5, 2013","On a typical day of work safety briefing was doing five minutes, they are very good colleagues.",#VALUE!,#VALUE!
821,"Good working enviroment, friendly",Helpdesk Support,"Johannesburg, GP","July 4, 2013","Having to support users , maily new users in the company.Setting up thier station to training them how the system operates.Afterwards there is an on going follow up on calls that are on hold.",n/a,#VALUE!
822,good corporate business to work,nursery,RI,"June 27, 2013","Company that gave me a lot of general professional Experience, and a £ aimed at the broad health system.",good schedule and sal√°rio,Run the fun√ß√ £ £ that does the age of my compet√™ncia.
823,A typical day at work,Senior Safety Advisor,"Johannesburg, GP","June 27, 2013",Project/Operation reviews- Study project ducuments- Compile a safety and health issue register highlighting particular project safety related risk to the project or risks that the proposed project might pose to the environment/equipment or people,Dealing with different kinds of projects/reviews and gaining different new kind of experience always,Away from home at sites most of the time
824,execlente company,Estagi√°rio Process Engineering,£ Catala or GO,"June 27, 2013","An excellent company to work very competent people in their tasks. It was this company that I gave my first jump to my engineering career, because I interned for a period of almost two years, and really learned the role of an engineer. A company that puts its employees always ferente co perocupando The security and occupational health of its employees",#VALUE!,#VALUE!
825,Productive a workplace,Snr Incentive Administrator,Rustenburg NW,"June 18, 2013","The hardest part of the job is to knock off late unexpected, dealing with seniors who do not want to listen to you and take order as according to your office policy. The team buildings were most enjoyable part of the job. I have learned to work in groups and to appreciate one another . A typical day at work is month end time",Free T-shirts,Long hours unexpected
826,excellent company to work,Supervisor of the £ Produ√ß√,"Barro Alto, GO","June 7, 2013","I really enjoyed working in Anglo because I learned to work with Nickel, √°rea who had never worked in my professional career.",Working hours,N√ £ o I pointed out anything that could be against
827,"Company DINA ¢ mica, enjoyable to work",Intern,"Concei√ß√ £ Within the Mato, MG","June 4, 2013","Experience provided in diversified √°reas related ambiente.Ambiente enjoyable working environment, good relationship between funcion√°rios.",#VALUE!,#VALUE!
828,Very good,administrative winery,"Santiago de Chile, RM","June 3, 2013","The typical day is to receive and evaluate the work of the previous day to provide solutions to each of them, guide or delegate another officer to achieve as soon as possible in order to let the day I learned the cliente.Lo is able to interact with many people from different socioeconomic levels, lead groups of workers in order to get objetivos.La management was very close and that were delivered daily reportes.Mis colleagues always insisted on creating a good environment laboral.Lo eventhough harder to achieve the abjetivos imposed by the company ± ia within 6 ± os year contratado.Lo was never more pleasing is that this work was very dynamic since every day was difente",I managed my time,We never were hired
829,Working Close To Decision Makers,Close Protection Officer,"Johannesburg, Marshalltown","May 27, 2013","I Have Learned To Be Patient, To Work Alone And With A Team. Working Long Hours And Travelling To Different Places And Meeting People That The Most Part That I Enjoy. Time Management",Meeting People,Long Hours & Travelling
830,Teamworking and hardworking,Senior Accounts Assistant,"Witbank, Mpumalanga","May 22, 2013","8 hour working dayImportance of collaboration value in team workingVery professional managementExciting,diversified and different cultures but all for common objectiveDaily targets is the hardest part of this jobEnjoy and encourage new ways of improving work invironment everyday.","Inspiring to work, reach culture, professional",Job Security
831,productive,underground electrician,Amandelbult,"May 19, 2013","work normal hour some times overtimes and standbysWork Underground Electrician working on new and old Medium Voltage electrical Installations, Maintanence and Switching.Maintanence and faultfinding on underground equipments such as Locos, Lights and Pump stations",none,normal
832,Company committed to health and the Security funcion√°rio.,apprentice in Mecca ¢ nica,£ Catala or GO,"May 16, 2013","I rate Anglo American as a company, very committed to integrity funcion√°rio because disp√?e good condi√ß√ £ the many benefits and offers a good £ condi√ß√ the trabalho.Trabalhando with some of the best MECA ¢ nicos and company directors, had the opportunity to learn to perform £ manuten√ß√ the industrial m√°quinas learned to handle tools that require a staging who est√° manuseando.Como my work was done in the UNIA had £ contact many qualified people, making the moment a learning experience, because it was tapped to exchange Experiences, do the £-Only the Mecca branch ¢ nica, but as well © m in elast © tric, in the administrative part, and logistics.",various benefits,#VALUE!
833,Perceptual good professional development,Mechanical supervisor mantencion,"Santiago de Chile, RM","May 15, 2013","High pressure for achieving results, with good working environment and collaboration with colleagues. There are good opportunities to gain experience in the different areas that make up the company.",Excellent medical benefits.,It absorbs too much of the time it is due to be personal rest.
834,Productive workplace,Local Procurement & BEE Specialist,Johannesburg,"May 12, 2013","Professional, efficiency and goal orientated work environment",#VALUE!,#VALUE!
835,"A company DINA ¢ mica, s√ © laughed and committed to his ideals and employees",Estagi√°rio T√ © cynical in the £ Minera√ß√,£ Catala or GO,"May 10, 2013","A £ valoriza√ß√ very large princ√pios the company among its employees and they Tamba © m respect with loyalty to laws and their Functions. Working with team together and fixed goal, one manages s√ © laughed and harmonious with its employees. And the most enjoyable part and to see the good fruit harvest team and know that fa√ßo of the achievements of work goals and wing © m all're doing what I am passionate about the £ Profession.","Aprendisado and Professional growth provided by the company, and teamwork working.",Only £ power serving 8 hours due di√°rias be estagi√°rio.
836,Number one Platinum Producer in the world,Process Operator,"Rustenburg, North West","May 8, 2013","Every day is started by safety meetings.We are expected to produce quality product and strictly to work safe , follow procedures all the time and we have safety bonusses and competitions.Management is always in contact with workers using Visible Field Leadership sysstem.We participate in sport and team building meetings in various shifts.",We have canteens at work and the food is subsidised by company u dont bring your own food.,We work overtime if ther other shift have someone not at work due to illness
837,productive and convenient work place,Executive PA,Corporate Head Office Gauteng,"May 8, 2013","open and respond to emails. Attending to correspondence arrangement of meetings. Attending to priorities and emergencies and all requirements of the day.Microsoft Office excel, powerpoint excel microsoft word, project management SAP account management, event management, problem solving. refer to cvManagement - communicative .Working as a teamsytems crashingAccomplishing goals",not,not
838,"Large company, good for working, has great opportunities for growth.",Assist. Administrative,"Niquel√ ¢ ndia, GO","May 7, 2013","√ â a company of the branch minera√ß√ £ porte.Aprendi the big deal with conflicts, to be a leader of equipe.Temos a very good transparency with gerencias.Os colleagues work s√ £ o all friendly, always wanting It will help.",#VALUE!,#VALUE!
839,A day at Anglo American,HR generalist,Witbank,"April 26, 2013",Sense of belongingCo-workers are always willing to help were help is needed always willing to give there advise were neededManagement is always there to back you up were mussel is needed,peaceful atmosphere,no real cons
841,Enjyable and interesting,HR Officer,Rustenburg Base Metals Refiners,"April 26, 2013",Interact with production staff and managementCoach & motivate staff to be positiveSupport co-workers and promote team work.Enjoy training people and doing problem solving,incentive bonusses,not deliver on promises
842,Very cooperative,Volunteer lab assistant,"Npumlng, Npumlng","April 23, 2013","Its a 8hrs job, from morning to midday. we work as a team most times. i have learned to be tolerant",attend workshops,sometimes i do overtimes
843,Pleasant working environment,typist,TOL,"April 22, 2013","Login leaves perforating the server, which pledge is all that relates to drilling and some geology, my colleagues were few staff and very good bosses excellent, what I liked most is the work environment, the work performed ,.",private medical insurance,#VALUE!
844,"The Anglo-American and one of the five largest mining companies in the world with plants in Brazil, Africa, Australia and the United Kingdom for its reputation presando",Interpret Translator,"Goias © sia, GO","April 19, 2013","Beginning of the working day at 6; 00 AM with the £ Distribution of tasks and activities to be held in the plant (training, £ Meeting the CEO's, manuten√ß√ £ o, etc.) directly connected to .Estar Engineers (El√ © tric, Hydraulics, Automa√ß√ £ o), scientists, T√ © cnicos, Directors, Managers without doubt brought a somat√≥ria of experiences in various aspects of the £-Only the refining process but as well © m with respect to equipment large and its operation, manuten√ß√ £ and structure, work with all levels of the company hierarchy was harmonious and productive commitment with clear results in all the variety of My Information required study calculated in situations, £ Array to lead the different professional teams since all the £ comunica√ß√ between the parties depended on interpreters team, the experience itself as a whole was extremely rewarding.","£ refei√ß√, transportation, environment, companions",nothing to declare
845,Conditions Company offers professional and personal development.,JR Mining Engineer,"Pedra Branca do Amapari, AP","April 6, 2013","I learned a lot about the part t√ © cnica involving all processes of £ opera√ß√ the mine as Cargo & Shipping, Drilling £ oe disassemble, infrastructure, cost control, control of the £ produ√ß√, control combust√vel etc. However; I really learned, wing © m of the parties pr√°tica and t√ © cnica, was dealing with people and relate to them as best know them and respecting them.","rent assistance, bonus for remote √°rea, aux√lio mobilization £ o",#VALUE!
846,Productive and friendly work environment,Assay Laboratory Processor,Limpopo,"April 3, 2013","A typical day at work would involve getting work that needs to be done as best as I possibly can. Also managing to prioritise my work based on work load.Team work, listening skills, people skills and gained a lot understanding about the workk environment.Management needs to be approachable and easy to talk to with regards to work related issues.Helpfull and work orientated. Always wanting to get the job done.Different work times as well as learning something new everyday.Getting a better understanding of wha really goes into the preparation and analysis of platinum ores.",more knowledge in a different field of work,long hours and working different shifts
847,Good working environment,STUDENT IN PRACTICE,"El Salado, AT","March 29, 2013",Conociemientosde Univeridad reinforce and learn mining practices,meals,no
848,"Very high safety standards, and look after thei employees",SAFETY RISK OFFICER/RISK MANAGER,Rustenburg South Africa,"March 26, 2013","Learned a lot about Risk Management, and Safety in the Workplace.No job security due to current labor situations in South AfricaManagement good, but does not fully live up to company policies.Fun place to work at with good work/life balance.Most enjoyable part was being able to join Safety in the largest Platinum Producer in the world.","excellent safety/risk management system, and learned a lot about safety",poor job security
849,Prospero work environment and satisfactorio.-,Tecnico Electrico,"Santiago de Chile, RM","March 26, 2013","Generally you start with daily Planning of the tasks assigned to each person, Knowledge Engine assembly, General Protections, blueprint reading, development of guidelines Mantenci√≥n.Gerencia of PlantaBuen collaborative environment, respect for viewpoints to develop work, operating machines Responsabilidades.Errores provistas.Gran no support and accessibility to acquire new knowledge.",#VALUE!,#VALUE!
850,"surface ,underground and factories",Snr. Mechanical Foreman,North West,"March 25, 2013","Excited to learn new challanges and to meet people and to assistEverything that work and team work is all about, to work with other people and to respect equipment and peopleHow to manage my own section and to treat managers like myselfNo job have a hard part if people work togetherTo fix something and all people involved get credit",#VALUE!,#VALUE!
851,Productive,Learning & Development Coordinator,Rustenburg,"March 25, 2013",Learned that to be a good manager or supervisor you must be able to work with all levels of staff. You need to understand each individual's talent and personalities.The hardest part about the job is having a difficult conversation with an employee if they are not performing according to the perfomance contracts.The most enjoyable part about the job is that by having people reporting to you allows you to harness your values.,works stable hours,not a challenging role
852,work in pleasant company,Document Filing II,"Belo Horizonte, MG","March 24, 2013","Favor√°vel environment for learning, manages open doors, easy £ comunica√ß√ with the £ coordena√ß√ it.",learning,Information Location £ o
853,good working environment with high standards of safety.,heavy equipment operator,"Nogales, VS","March 20, 2013","positive work environment, with willingness to ENSEA ± anza, trained me for 830E and AC operation. Fishing without the camp, every day you get to the house, which promotes family life. great importance to security is given, continuously strengthening personal care and all the job",#VALUE!,#VALUE!
854,productive and frank,Senior Auto electrician,"Limpopo, mokopane","March 19, 2013","i am a hard working person and fun , i am passionate about my job i even go an extra mile to rectify mechnical problems and make up a team. i am eager to learn new technologies and open minded. i relate well to my co workers and they enjoy working with me. i enjoy Fault diagnosis and challenges.",safety meetings and discussions,strike
855,A company s√ © laughed and committed to funcion√°rio and their dependents.,Machine operator,"Barro Alto, GO","March 17, 2013",I learned a lot during the per√odo I worked at Anglo American. I made many friends and kept √≥timo relationship with the immediate boss who was my supervisor. √ â a comprehensive business and cares about the professional growth of funcion√°rio. Fidelity to the pay was excellent. I do take in the £ £ considera√ß√ the difficult part in any company because it was a place I like to be and work √ © what I love to do.,the £ refei√ß√ the company was in razo√°vel.,site which was served alimenta√ß√ £ it was not suitable because of the infrastructure.
856,Company,Trainee,£ Catala or GO,"March 15, 2013","T√pico in a day's work I followed the routine of the £ produ√ß√ and Possible quest√?es di√°rias. Working on projects related to £ otimiza√ß√ the process and was guided by my direct superior about the post atribui√ß√?es him, coordena√ß√ £ oO workplace has always been very harmonious, and I direct interface with other √ °areas of the company and relationship very agrad√°vel.A hardest part corresponded to the conflict of interest between the high decis√?es ger√™ncia and √°rea needs where I worked. Facts that made the Reva © s in the interest of the £ produ√ß√ should be worked out, seeking the best from the tools that t√nhamos access.","benefits, work environment",£ banaliza√ß√ the trainee program shortly aft to the £ contrata√ß√ for this position espec√fico
857,excellent company to work for,Estagi√°ria t√ © cnica in the environment,"Hat £ o, SP","March 14, 2013","Good chance of learning where I could find support all Staff, location √≥timo to work and good management;",#VALUE!,#VALUE!
858,Very pleased © l working,Welder,"Barro Alto, GO","March 7, 2013",ferrule assembly in elast oven © tricoAprendi to develop more in the welding mig mag process,£ refei√ the company in,#VALUE!
859,learner,learner,anglo american rustenburg,"March 7, 2013",woprking at this company would help me in developing my engineering skills.with the believe the company has a good development programme i can become one of their best product in an ngineering field,overtimes,long hours
860,Fantastic learning place,Graduate geologist,Thabazimbi,"March 6, 2013",great place to learn and grow. Access to some of the best mining people in the world and great mentors.,free courses,remote
862,Energetic and Team player,Utility Technician,Polokwane Limpopo,"March 5, 2013","The pressure behind schedule time to start the operation of the plant,i was acting for my superior that shift,but my peer did not failled me we managed to speedup averything that we were suppose to do and we succeded.We enjoyed working as ateam pioneer and reaching our target time to time.Advantage was we are trained to operate any machenery around our plant(multyskilled).The company offered a programe for leadership skills oppotunity to act as a supervisor,safety represantative,peer educator and shopstuart.",2008 i won the best technician on my shift,12 hour shift
863,Safe and Productive Work Place,Miner,Rustenburg,"February 28, 2013","It is such an honour working for Anglo.The values are outstanding, the management so helpfull and teamwork is exceptional",#VALUE!,#VALUE!
864,An exciting friendly workplace,Expatriate PAyroll Specialist,London,"February 27, 2013",People are great to work with. Management are excellent always looking out for the staff. Providing them with a safe and enjoyable environment to work within.,#VALUE!,#VALUE!
865,"Hard worker, like to work with people",Safety Administrator,khomanani mines,"February 20, 2013","I learned more things, new systems, management also is encouraging, my co-workers are friendly, hardest part of jo, to my side is when the information of the meeting is needed in short space of time, my enjoyable part is when i am building safety meeting and doing incidents reports",lunch name,06h00-15h30
866,Challenging and diverse,Professional in Training (Metallurgy),"Kathu, Northern Cape","February 18, 2013",Value driven company. Management cares for employees and promotes personal development.,#VALUE!,#VALUE!
867,very good working environment,Inspector Manuten√ß√ £ o,"Barro Alto, GO","February 13, 2013","I consider a very good company to work for, from the point of view of the working environment and very good, the values ??preached by the company and fant√°stico the Bena © efits, and the flexibility to deal with issues with any Niva © l hierarchical.",#VALUE!,#VALUE!
868,pleasant company of easy coexistence and high performance,Auxiliary general up Service,"Niquel√ ¢ ndia, GO","February 13, 2013","Working at Anglo American and good for various reasons since profissionol experience in addition, to possess several recognition that empowers like a person, in addition to directly providing welfare.",formecer refei√ßao na business,#VALUE!
869,"A company that wants Health, Security and the £ Produ√ß√.",Machine operator,"Barro Alto, GO","February 8, 2013",".Trabalho of dose-hour shift per day three men are © © I am glad s..Cada day three men learn in some more, safety and produ√ß√ £ £ boa..S√ o..Est√° being very much the companions. I relate very b√ © m with eles..√ â when an accident happens ... in ..the company â time arriving at the end of the day and everyone is £ o b√ © m.",sim,sim
870,Productive,sale blasting the correct reef to be sold,Rustenburg,"February 5, 2013",Anglo is one of the best company ever i worker for the safety standard is world class induction and training modal it compile exactly with our government legislature i can called it training school because it produce a lot of graduate but don't take care of off,no free launch,you work for the money
871,It is a good company if you like a mining enviroment,Junior Engineer,Rustenburg,"February 5, 2013",It a lovely company its just that the mining mentality ruens the professionalism,good graduate programme,mining culture is not for me
872,Company DINA mica ¢ √° dream which one day return again as official,Supervisor £ manuten√ß√ the elast © tric / instrumentation £ o,£ Catala or GO,"February 1, 2013",good company to work for and a strong group and large treats its funcion√°rios with respect and has a great equil√brio Interface with the £ √° Safety at work where everyone knows the rules of medicine seguran√ßae at work ... the most difficult part of the job and some managers do not always recognize the developer esfor√ßo and tries to debunk the same to give opportunities that we call (pulls) bag that there is still much that person to iNVA © s ability to show professional chooses to always be talking ill of coworkers to drag his carpet ......,√≥tima the refei√ßoes the company,and provides quite satisfactory
873,pro active and re active,snr surveyor,northem,"February 1, 2013",its interesting for allowing emplyees to advance themselves in all spheres,#VALUE!,#VALUE!
874,Pleasant working environment.,mechanical planner,"Mel√≥n, VS","January 31, 2013","Typical day: repartici√≥n shift and delivery of work for mismo.Lo learned: improving knowledge of mining equipment such as drills, trucks, loaders, majoring as mechanical hidr√°ulico.Direcci√≥n / management: problem did not exist to talk with different direcciones.Colegas: exist√a a broad spectrum of personalities, pleasant environment more difficult camarader√a.Lo: Gesti√≥n courses did not exist when they arrived new equipment mantenci√≥n.Lo elses taste: the shift schedule, as always he returned home.","Private health insurance, education assistance.",little expectation career.
875,challenging but not suppotive,electrician,limpopo,"January 28, 2013","always challenging with lots of work loadsmaintain petiance and focus so as to be productivepartially supportivepartial co-opertionforced to complete some one ""s jobfault finding on complex heavy duty electrical circuits",own lanch,long hours
876,It is a productive and fun place to work in,Office Administrator,"Marshalltown, Johannesburg","January 24, 2013","I do office admin on a daily basis and meet new people daily. assist alsmost every employee and visitor coming in. One needs to be ready to answer each and every question you are asked. i have learned to always put everything on paper (email) as record, different kinds of people's behaviours and you just have to adjust and always be calm and keep your smile. Im helpful, how sytems work, building relationships with clients and Colleagues for future purposes, time management. The hardest part of my job is coming across difficult employees who will ask for something they are not too sure about and makes you do it over and over . The most enjoyable parrt of the job is that i am in control. i get to plan what works for me and what doesnt. i get to make mistakes ad quickly learn from them without the next person seeing. i get along with everyone from the cleaners to the executives. i work with people from different directions in life and feel happy if i was able to make a difference in each and everyone of their lives. i love working with people.",i enjoy every moment but still know that im at work.,i never get to work long hours but i would if i have to.
877,"√≥tima company to work with, very organized",maid and receptionist,"Center, RJ","January 21, 2013",Be aware of everything and work on conjunto.Ser respons√°vel with everything and everyone and the £-Only with trabalho.Ser always polite and perform all tarefas.Ser always companheiro.Fazer with the pr√≥ximo respect you for what you √ © .Estar satisfied with what fa√ßoe be recognized by them.,"refei√ß√ £ o, alimenta√ßao, m√ © dico and odontol√≥gico",I do not have
878,maintenance and production duties,maintanance fitter,"new denmark, Standerton","January 18, 2013",maintence of equipmentfitting of cutter gears on machine without taking off cutter drum.supplying of spares in time.enjoy team spirit in the team at present.staying long hours.working on a day safely.,safety perks,spare parts not being supplied in time
879,Good company,Senior Superintendent Protection Services,Rustenburg,"January 17, 2013",The staff is motivated. Management is also supportive to its staff.,big company,n/a
880,Hardwork,Property Development Coordinator,All Platinum Mines - Shared Service,"January 15, 2013",ScopingTenderingCo-ordinating consultantsTender AdjudicationsHardest Part of Work is TravellingEnjoys supervision,#VALUE!,#VALUE!
881,Enjoyable work place with greate cultural values,essential services electrician,"rustenburg, northwest","January 15, 2013",planned maintance schedules every day as well as foward planning for improvements on sectioned area.Ive lernt hove to work under pressure as well as to work together in a team enviroment.management is fairly reasonable towards thier empolyees depending on what the cercamstance is.everything in my work area is enjoyable,early hours,late night standbyes
883,productive place in education of our school learners,Volunteer,"Witbank, Mpumalanga","January 15, 2013","As a volunter at science center i help perform fun science experiments&hands on experiments with school learners,explanation of scioence concerpts,inter-acting with science exhibits,at the career guidance i help out of school youth and the community on how to choose a career,ICT and Resource center i help leaners,out of school youth,community,teachers to be computer literate.I have have developed a high self esteem when im standing infront of people.I enjoy my job a lot",learning new things every day,#VALUE!
